FMID	LOH_QC_status
TRF234834.01	PASS
TRF234835.01	PASS
TRF234837.01	FAIL
TRF234838.01	PASS
TRF234839.01	PASS
TRF234840.01	PASS
TRF234841.01	PASS
TRF234842.01	PASS
TRF234843.01	PASS
TRF242411.01	PASS
TRF242413.01	FAIL
TRF242414.01	PASS
TRF242415.01	PASS
TRF242416.01	PASS
TRF242417.01	PASS
TRF242418.01	PASS
TRF242419.01	FAIL
TRF242420.01	PASS
TRF242421.01	PASS
TRF242422.01	PASS
TRF242423.01	PASS
TRF242424.01	PASS
TRF242425.01	PASS
TRF242427.01	FAIL
TRF242428.01	PASS
TRF242429.01	PASS
TRF242430.01	PASS
TRF234836.01	FAIL
TRF250868.01	PASS
TRF250869.01	PASS
TRF250872.01	PASS
TRF250873.01	PASS
TRF250877.01	PASS
TRF250878.01	PASS
TRF250879.01	FAIL
TRF250880.01	PASS
TRF250881.01	PASS
TRF250882.01	PASS
TRF250884.01	PASS
TRF250886.01	PASS
TRF250887.01	PASS
TRF250888.01	PASS
TRF250889.01	PASS
TRF250891.01	PASS
TRF250892.01	PASS
TRF250894.01	PASS
TRF250895.01	FAIL
TRF250896.01	PASS
TRF250897.01	PASS
TRF250898.01	PASS
TRF250899.01	PASS
TRF250902.01	PASS
TRF250903.01	PASS
TRF250904.01	PASS
TRF250905.01	PASS
TRF250906.01	PASS
TRF258378.01	FAIL
TRF258379.01	PASS
TRF258380.01	PASS
TRF258381.01	PASS
TRF258382.01	PASS
TRF258383.01	PASS
TRF258384.01	PASS
TRF258385.01	FAIL
TRF258386.01	PASS
TRF258387.01	FAIL
TRF258388.01	PASS
TRF258390.01	PASS
TRF258391.01	PASS
TRF258392.01	PASS
TRF258393.01	PASS
TRF269236.01	PASS
TRF273360.01	PASS
TRF273361.01	PASS
TRF273363.01	FAIL
TRF273364.01	PASS
TRF273366.01	PASS
TRF273369.01	PASS
TRF273370.01	PASS
TRF273371.01	PASS
TRF273372.01	PASS
TRF273373.01	PASS
TRF273375.01	FAIL
TRF273376.01	PASS
TRF273377.01	PASS
TRF273379.01	PASS
TRF273380.01	FAIL
TRF273381.01	FAIL
TRF273384.01	PASS
TRF273386.01	FAIL
TRF273387.01	PASS
TRF273388.01	FAIL
TRF273389.01	PASS
TRF273390.01	PASS
TRF273391.01	PASS
TRF273392.01	FAIL
TRF273394.01	PASS
TRF273395.01	PASS
TRF273396.01	PASS
TRF273397.01	PASS
TRF273399.01	FAIL
TRF273400.01	FAIL
TRF273401.01	FAIL
TRF273402.01	PASS
TRF273403.01	PASS
TRF275797.01	PASS
TRF278506.01	PASS
TRF278507.01	PASS
TRF278508.01	PASS
TRF278509.01	PASS
TRF278510.01	FAIL
TRF278511.01	PASS
TRF278512.01	PASS
TRF278513.01	FAIL
TRF278514.01	PASS
TRF278515.01	PASS
TRF278517.01	PASS
TRF278518.01	PASS
TRF278519.01	PASS
TRF278520.01	FAIL
TRF278521.01	PASS
TRF278522.01	PASS
TRF278523.01	PASS
TRF278524.01	FAIL
TRF278525.01	PASS
TRF278527.01	PASS
TRF278528.01	FAIL
TRF278529.01	PASS
TRF278530.01	PASS
TRF278531.01	PASS
TRF278533.01	PASS
TRF278534.01	FAIL
TRF293306.01	PASS
TRF293307.01	PASS
TRF293308.01	PASS
TRF293309.01	PASS
TRF293311.01	PASS
TRF293312.01	PASS
TRF293313.01	PASS
TRF293314.01	PASS
TRF293315.01	PASS
TRF293317.01	PASS
TRF293318.01	FAIL
TRF293319.01	FAIL
TRF293320.01	PASS
TRF293321.01	PASS
TRF293322.01	PASS
TRF293323.01	FAIL
TRF293324.01	PASS
TRF293326.01	PASS
TRF293327.01	PASS
TRF293328.01	PASS
TRF293329.01	FAIL
TRF293330.01	FAIL
TRF293331.01	PASS
TRF293334.01	PASS
TRF293335.01	PASS
TRF293336.01	FAIL
TRF293337.01	PASS
TRF293338.01	PASS
TRF293339.01	PASS
TRF293340.01	PASS
TRF293341.01	FAIL
TRF293342.01	PASS
TRF293343.01	PASS
TRF293344.01	FAIL
TRF293345.01	FAIL
TRF293346.01	PASS
TRF293347.01	FAIL
TRF293348.01	PASS
TRF293349.01	FAIL
TRF293350.01	PASS
TRF293351.01	PASS
TRF293353.01	PASS
TRF293354.01	FAIL
TRF293355.01	PASS
TRF293356.01	PASS
TRF293357.01	FAIL
TRF293358.01	PASS
TRF293359.01	PASS
TRF293360.01	FAIL
TRF301623.01	PASS
TRF301624.01	PASS
TRF301625.01	PASS
TRF301626.01	PASS
TRF301627.01	PASS
TRF301628.01	PASS
TRF301629.01	PASS
TRF301630.01	PASS
TRF301631.01	PASS
TRF301632.01	PASS
TRF301633.01	PASS
TRF301634.01	PASS
TRF301635.01	PASS
TRF301637.01	PASS
TRF301638.01	FAIL
TRF301639.01	PASS
TRF301640.01	PASS
TRF301641.01	PASS
TRF301642.01	PASS
TRF301643.01	PASS
TRF301644.01	PASS
TRF301645.01	PASS
TRF301646.01	PASS
TRF301647.01	PASS
TRF301648.01	PASS
