FMID	LOH_QC_status
ORD-0806545-01	PASS
ORD-0806549-01	FAIL
ORD-0806550-01	FAIL
ORD-0806551-01	PASS
ORD-0806552-01	FAIL
ORD-0806553-01	FAIL
ORD-0806554-01	FAIL
ORD-0806558-01	FAIL
ORD-0806559-01	FAIL
ORD-0806541-01	PASS
ORD-0806543-01	PASS
ORD-0806544-01	PASS
ORD-0806546-01	FAIL
ORD-0806539-01	PASS
ORD-0806540-01	PASS
ORD-0806542-01	PASS
ORD-0806548-01	FAIL
ORD-0806555-01	PASS
ORD-0806556-01	PASS
ORD-0806538-01	PASS
ORD-0806560-01	PASS
ORD-0806562-01	PASS
ORD-0806564-01	PASS
ORD-0806565-01	PASS
ORD-0806567-01	PASS
ORD-0806572-01	FAIL
ORD-0806574-01	PASS
ORD-0806576-01	FAIL
ORD-0806577-01	PASS
ORD-0806578-01	FAIL
ORD-0806579-01	PASS
ORD-0806582-01	PASS
ORD-0806563-01	FAIL
ORD-0806581-01	FAIL
ORD-0806566-01	FAIL
ORD-0806568-01	PASS
ORD-0806569-01	FAIL
ORD-0806570-01	FAIL
ORD-0806571-01	FAIL
ORD-0806573-01	FAIL
ORD-0806596-01	FAIL
ORD-0806597-01	FAIL
ORD-0806598-01	FAIL
ORD-0806599-01	PASS
ORD-0806600-01	PASS
ORD-0806601-01	PASS
ORD-0806583-01	PASS
ORD-0806584-01	FAIL
ORD-0806586-01	FAIL
ORD-0806588-01	FAIL
ORD-0806591-01	FAIL
ORD-0806592-01	FAIL
ORD-0806594-01	FAIL
ORD-0806595-01	PASS
ORD-0806585-01	FAIL
ORD-0806602-01	FAIL
ORD-0806587-01	PASS
ORD-0806589-01	PASS
ORD-0806590-01	PASS
ORD-0806593-01	FAIL
ORD-0806603-01	PASS
ORD-0806605-01	PASS
ORD-0806606-01	PASS
ORD-0806607-01	PASS
ORD-0806604-01	PASS
######FOR RESEARCH USE ONLY######	
